channelId,title,channelDescription,viewCount,subscriberCount,videoCount,error
UCIaFw5VBEK8qaW6nRpx_qnw,Coldplay - Topic,,2339289890,122000,912,0
UCRzzwLpLiUNIs6YOPe33eMg,ChainsmokersVEVO,"The Chainsmokers on Vevo - Official Music Videos, Live Performances, Interviews and more... ",12168515588,11000000,251,0
UCH9fakOo40rOv7HGvbGc1rQ,convar HUN,"Motorsports, tennis, films (especially European), series, musics: mainly rock, indie, blues, jazz, funk/funkrock, french pop (yé-yé), world music, flamenco, latin, ska, trip hop, breakbeat/big beat, synthwave, electro swing, house, trance, lounge/chillout/ambient/downtempo (Café del Mar!!!)

My other (Hungarian) channels:
https://indavideo.hu/profile/convar
https://videa.hu/tagok/convar-993952",48156174,102000,215,0
UC_kRDKYrUlrbtrSiyu5Tflg,Daft Punk,"Daft Punk (1993 - 2021) - Official YouTube Channel
",4259289573,6100000,205,0
UCKHFvArwRwQU2VbRjMpaVGw,DaftPunkVEVO,"Daft Punk on Vevo - Official Music Videos, Live Performances, Interviews and more...",1797219585,2240000,24,0
UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park,,14073190540,20800000,750,0
UCq19-LqvG35A-30oyAiPiqA,Radiohead,,2681840239,3570000,144,0
_,_,_,_,_,_,2
UCr_iyUANcn9OX_yy9piYoLw,Radiohead - Topic,,612489798,63800,330,0
UCmPuJ2BltKsGE2966jLgCnw,acdcVEVO,"AC/DC on Vevo - Official Music Videos, Live Performances, Interviews and more...",7153885897,2930000,199,0
UCbk5IumTk0ocxxsQT9OHMRw,Official Lives & Music Videos - Official Channel,"Hello everyone, This is an YouTube channel of Full Concerts, Music Videos without HD Remastered, due to Topaz is bad to make in HD, Hope you enjoy it.

Subscribe for more videos!

please DO not steal any footage I uploaded and make it our own, please give credit. Thank you
",961530,4410,135,0
UCrwmu-gceGOmtZeuTsn7DlQ,BlackEyedPeasVEVO,"The Black Eyed Peas on Vevo - Official Music Videos, Live Performances, Interviews and more...",10049957329,3850000,130,0
UCPk3RMMXAfLhMJPFpQhye9g,Tiësto,"'DRIVE' The Album out NOW ! tiesto.lnk.to/driveAY
",3748945905,6640000,492,0
UCulYu1HEIa7f70L2lYZWHOw,michaeljacksonVEVO,"Michael Jackson on Vevo - Official Music Videos, Live Performances, Interviews and more...",12806052425,8050000,138,0
UCnoFKofDnHdPXCnZnLXU6kQ,MJ4481,,820548,1820,19,0
UCFLIU9M1lGGifrjxG-9Fteg,vman,"Not really a channel, I just uploaded some Smooth Criminal Music videos by Michael Jackson in a higher quality, as the official channel hasn't uploaded any.
For the fans to enjoy :)",94010629,101000,6,0
UCXJDX1KK6t121Z9FLhu5o2A,PinkVEVO,"P!nk on Vevo - Official Music Videos, Live Performances, Interviews and more...",7304077653,7100000,198,0
UCvwbqHtT-EQYHoLtWtCJ9-w,Mydełko,,2267513,4800,5,0
UCtylTUUVIGY_i5afsQYeBZA,Lyrical Lemonade,"THINK DEEP, DON'T SINK.",10901821692,21400000,427,0
UCtQMmwBJGvINGU0lZ_GrZKQ,PharrellWilliamsVEVO,"Pharrell Williams on Vevo - Official Music Videos, Live Performances, Interviews and more...",1869521615,1340000,43,0
UCaHNFIob5Ixv74f5on3lvIw,CalvinHarrisVEVO,"Calvin Harris on Vevo - Official Music Videos, Live Performances, Interviews and more...",14576928653,11700000,207,0
UCKzhoblE_rPZbHtQKPVUp2A,SZAVEVO,"SZA on Vevo - Official Music Videos, Live Performances, Interviews and more...",1908563258,1000000,103,0
UCqwxMqUcL-XC3D9-fTP93Mg,LIL UZI VERT,"

Connect with Lil Uzi Vert:
https://twitter.com/LILUZIVERT
https://www.instagram.com/liluzivert/
https://www.facebook.com/LilUziVert/
https://soundcloud.com/liluzivert",4790927886,9530000,208,0
UCsQBsZJltmLzlsJNG7HevBg,"Tyler, The Creator","CALL ME IF YOU GET LOST: The Estate Sale is out now: https://tylerthecreator.lnk.to/TheEstateSale
",1969603742,5000000,85,0
UCJw8VyO6e3v6S0327AsgwcQ,Pharrell Williams - Topic,,229174213,33900,269,0
UCDGmojLIoWpXok597xYo8cg,BillieEilishVEVO,"15-year-old Los Angeles songstress Billie Eilish resembles something of a fairy tale heroine—albeit with a wicked sense of humor, and inimitable fashion sense filtered through a kaleidoscope of hip-hop, grunge, and glam tendencies ready to practically levitate above any runway. It’s this kind of je nais sais quoi that fueled the meteoric rise of her debut single “Ocean Eyes.” Produced by big brother Finneas O’Connell, the siblings uploaded the track to SoundCloud and it became a veritable phenomenon, with the song hitting #1 on the Spotify U.S. Viral chart and #3 on the Global Viral chart. In between signing to Darkroom/Interscope in 2016, Vogue decried her as “Pop’s Next It Girl,” and she has since received praise from the likes of Charli XCX and Tove Lo, plus support from Teen Vogue, ELLE, Rolling Stone, Billboard, V, W, Zane Lowe of Beats1, BBC Radio 1’s Annie Mac and many more. ",10135524049,1100000,122,0
UCPW4ObAtDezrOGo2gjYOctg,MarshmelloVEVO,Marshmello,517781208,6720,39,0
UCEdvpU2pFRCVqU6yIPyTpMQ,Marshmello,Marshmello's Official YouTube Channel,14865761573,56700000,453,0
UCcN-NDV03eHs6oLd1pe2r8w,KhalidVEVO,"Khalid on Vevo - Official Music Videos, Live Performances, Interviews and more...",4936070104,2210000,139,0
UCqrBKQHQVEvD2Q9FP0DCP2g,benny blanco,"benny blanco's official YouTube channel. 

Follow benny: 
https://bennyblanco.lnk.to/music
http://www.instagram.com/itsbennyblanco
http://www.facebook.com/itsbennyblanco
http://www.twitter.com/itsbennyblanco
http://www.tiktok.com/@itsbennyblanco
",1443193675,1820000,63,0
UC0C-w0YjGpqDXGB8IHb662A,Ed Sheeran,"Autumn Variations out now

Ed Sheeran may be the quintessential pop star of the 2010s: an internationally acclaimed, multi-award winning singer/songwriter who seems to acknowledge no boundaries between styles or eras with elements of folk, hip-hop, pop, dance, soul, and rock woven throughout his music. 

 His incredible catalogue includes the studio albums ‘+’ (plus), ‘x’ (multiply) and ‘÷’ (divide) which spawned hit singles such as ‘The A team’ , ’Lego House’, ‘Sing;, ‘Thinking Out Loud’, ‘Photograph’, ‘Shape Of You’, ‘Castle on The Hill’ and ‘Perfect’. 
 
In 2019, Ed Sheeran released the genre-spanning ‘No.6 Collaborations Project’ which featured a wide-range of artists including ‘Justin Bieber’, ‘Camilla’ Cabello’, ‘Travis Scott’, ‘Eminem’, ‘Cardi B, ‘Bruno Mars’ and ‘Stormzy’ amongst many others, producing hits such as ‘I Don’t Care’, ‘Beautiful People’, ‘South of The Border’ and ‘Take Me Back To London’.
",31159950083,53900000,454,0
UCmS75G-98QihSusY7NfCZtw,Bizarrap,"Productor Musical || Buenos Aires, Argentina ",8336604739,21400000,85,0
UCGnjeahCJW1AF34HBmQTJ-Q,shakiraVEVO,"Shakira on Vevo - Official Music Videos, Live Performances, Interviews and more...",26375553702,18400000,204,0
UCjXOUJsTtVNO6UM1U0yYncQ,Café Con Telenovelas,Disfrute de videos de telenovelas en HD aquí en nuestro canal,136989427,257000,1584,0
UC2a9zmrdjvLsrRgi4G4blWw,MGKVEVO,"Machine Gun Kelly on Vevo - Official Music Videos, Live Performances, Interviews and more...",2723942657,2300000,115,0
UCe4LM_eKc9ywRmVuBm5pjQg,Atlantic Records,"The official Atlantic Records YouTube Channel is home to the hottest in hip-hop, rock, pop, R&B, indie, musicals and soundtracks. With over 70 years of global recorded music history, Atlantic Records’ legacy and passion for artistry continues with Top 40 hitmakers like Cardi B, Ed Sheeran, Bruno Mars, Charlie Puth, Janelle Monáe, Portugal. The Man, Kelly Clarkson and more!  

Atlantic Records prides itself for working on Motion Picture Soundtracks, such as “The Greatest Showman”, “Suicide Squad” and “The Fate of the Furious.” As well as Musical Soundtracks including “Dear Evan Hansen,” and Grammy and Tony Award Winning “Hamilton”.
 
It is home to world-renowned record labels representing music from every genre, including Asylum, Big Beat, Canvasback, Elektra, Fueled By Ramen, Rhino, Roadrunner, and Sire.
 
Subscribe for the latest official music videos, official audio videos, performances, bts and more from our artists and projects.
https://Atlantic.lnk.to/YTSubscribe",12973443825,14200000,1798,0
UChO8h2G8UjOVc081rgYU8XQ,Vibe Music,"Vibe Music strives to bring the best lyric videos of popular Rap & Hip Hop songs.

Be sure to Subscribe to see new videos we upload!

If any producer, artist or label has an issue with music upload, please contact me and I will remove the material immediately.

Business Inquiries: droppinglyricsvibe@gmail.com",3250790989,3910000,1285,0
UCpb_iJuhFe8V6rQdbNqfAlQ,NickyJamTV,"Canal Oficial del artista Urbano Puertoriqueño, Nicky Jam http://www.nickyjampr.net",16086990787,23700000,431,0
UCNnwYefwrkVBAbMUzLpxbEQ,RomeoSantosVEVO,"Romeo Santos en Vevo – Videoclips oficiales, Lyric videos, Sesiones en vivo, Entrevistas y muchos más...",14624103747,8790000,211,0
UCNbkngvl5GTEladLekTTpMA,TV Rajuela Producciones,Creador Digital. Contenido Nuevo Todas Las Semanas.,4269466,11500,386,0
UCeSCejKJS0W4LTptFuBYU0g,Dalex,"""Imprudencia"" ya esta disponible en todas las plataformas digitales: https://ffm.to/imprudencia
",4433770013,6290000,304,0
UCSY4mWnVs5iGpMSF6cjyT2w,Anakin ent,Anakin Entertainment Inc.,150814135,130000,65,0
UCphlOJ8CqfyUi9ayZ2UZmfg,PrinceRoyceVEVO,"Prince Royce is the biggest breakthrough artist Latin music has seen in many years.  He has multi-platinum certified albums, sold out shows at numerous venues throughout the world and over 35 awards including the ""BMI Latin Songwriter of the Year Award"" at age 23 and the ""Composer of the Year Award"" at the 2012 Latin Billboards, becoming the youngest person in the history of the awards to receive the honor. Prince Royce has recorded hit songs with superstars Maná, Daddy Yankee and Thalia, and has toured the US with Enrique Iglesias and Pitbull.",5838116704,5720000,161,0
UCWVWG_nHMXFihrqNnSf6TFg,Latin Waves,,47988255,275000,396,0
UCmKPfJW2Bv0s_MHwQ7u_7OA,DeeJay Morena,,320179,699,6,0
UC4dqLAF7yT-_DqeYisQ001w,TheBeatlesVEVO,"The Beatles on Vevo - Official Music Videos, Live Performances, Interviews and more...",3115779986,1270000,73,0
UC2XdaAVUannpujzv32jcouQ,The Beatles - Topic,"""We didn't dream it... though it came out of John's dream of the ""man on a flaming pie"" who said ""You are Beatles with an 'A'"". It did all happen. The whole wonderful thing did happen, a long time ago, on the Mersey, on the Elbe, by the Thames and the Hudson River.  Amazing and marvellous and, nearly [sixty] years on, forever young.""  Derek Taylor

Find out about he band, and to register for the latest updates, visit http://www.thebeatles.com
Our links: https://linktr.ee/thebeatlesofficial",3158854300,249000,2053,0
UCVWA4btXTFru9qM06FceSag,PitbullVEVO,"Welcome to Pitbull's official YouTube channel. Here you'll find all of his official music videos, behind the scenes, and everything that matters to Mr. Worldwide himself.  
Subscribe to the channel for your exclusive first look. Dále!

------

Bienvenidos al canal oficial de Pitbull en Youtube. Aquí encontrarán todos sus videos de música oficiales, detrás de cámaras, y todo lo relacionado a Mr. Worlwide. 
Suscríbete al canal para tener acceso exclusivo. Dále!",10673437717,9390000,197,0
UC9TO_oo4c_LrOiKNaY6aysA,Daddy Yankee,"Icono y rey urbano, este es el canal oficial de música de Daddy Yankee en YouTube.

Daddy Yankee es la estrella de reggaetón, hip hop, pop, urbano y latino detrás de éxitos legendarios como Que Tire Pa' 'Lante, Con Calma, Dura, Gasolina, Despacito, Shaky Shaky , LEGENDADDY y más. También es responsable de los álbumes que definen el género como Barrio Fino.

Suscríbete ahora al canal, dale a la 🔔 y no te pierdas los estrenos oficiales de videos musicales, resúmenes de giras, entrevistas y mucho más.



",23407628826,38300000,527,0
UC0p5tBJyylhgBXS9BhjWmow,SeanPaulVEVO,"Sean Paul on Vevo - Official Music Videos, Live Performances, Interviews and more...",2252752899,1460000,93,0
UCV-W40yuzTglTIBg3bEasVA,SpiceOfficialVEVO,,800614456,500000,95,0
UCr8RbU-D7iSvpy0ZO-AasoQ,INNA,"The official Youtube channel of the international dance sensation INNA. SUBSCRIBE to stay updated!

Concerts: booking@innaofficial.com 
Licensing: licensing@globalrecords.com",4836721282,7850000,1049,0
UCSEmH1YyFWltSBYkfLMtkcg,ElvisPresleyVEVO,"Elvis Presley on Vevo - Official Music Videos, Live Performances, Interviews and more...",1768413414,599000,574,0
UChoNtxWGB8A9BaVI90jfiMw,Amelia Hops,,18388303,35600,12,0
UCQcGGGjHb0pqo2ol9Ksmoyg,y,,251436298,210000,1,0
UClzxOAwahmNCc_whx5Lu2yg,gaaronpresley,,12703253,11500,11,0
UCjIILWUX89AHJmDpFCZ2-og,Seven Hip-Hop,"Create, inspire, capture.

ABOUT US: We are a community hip-hop channel that works closely with labels and independent artists. We've worked with many large names such as Lil Rae, Franax, Ceazerr, Eliozie and many more! We stride to go above and beyond to bring you the freshest hip-hop and underground rap songs.",1332422785,1640000,1969,0
UCVDLMG41z26o2J7JXR9y_3g,Makaveli 'G,,784435,2750,4,0
UCWGljB8djPusdaKtVx1UKfg,UPROXX Video,"UPROXX Video celebrates Hip-Hop, Style, and Creativity through a mix of original shows and music videos.

FRESH PAIR

Hip-hop legend Just Blaze and sneaker customizer Katty Customs star in a new show from Uproxx— FRESH PAIR. The series tells the story of some of the most iconic names in culture – from Jadakiss to Will.i.am to TI – through a single custom sneaker. 

PEOPLE'S PARTY

People's Party is a weekly interview show hosted by Talib Kweli and Jasmin Leigh. Guests range from the biggest names in hip-hop, to global entertainers, to the most progressive minds moving our culture forward. 
",1674421203,2350000,1220,0
UCFyZuupPj59EAsLUBpxOz2Q,Nozzy-E,"Official Channel For Music Producer & Artist Nozzy-E

Hello I am Nozzy-E and I have decided to share with all of you my passion and creativity, something I have loved and enjoyed ever since I started in 2001.
Please support the channel and enjoy it while it is around.
My aim is to spread as much music as I can to everyone and help bring out a positive message from the music I create.
Make sure you visit my other social platforms, for the latest news & updates.
Features:
-Latest Mixes
-Latest Mixtapes
-Never before heard mixes
-OG Vibes
-Instrumentals & many more
Please leave feedback and enjoy !!!!
Share & like for the love of music !!!!
Will update you regularly
Peace & Blessings ❤️❤️❤️
",229187705,292000,291,0
UCXHS8laHmOJw4JqH_c0huqg,pandele18,My fav Rock/Rap Music!,15787109,19400,49,0
UCrTci_8Czgl88OLMvH5ttug,The Best,,1583729,1720,22,0
UCA_-NVTKOlWgxgTWjqlzZlA,2PacVEVO,"2Pac on Vevo - Official Music Videos, Live Performances, Interviews and more...",1323001040,2060000,29,0
UCMIdeeBjp_60Jv7ROpRxK6Q,2Pac,,3259521835,7300000,27,0
UC33hfSLcgCI1OL58RqdNYHw,YinonBeatz,HIP HOP BEATZ!,3676934,8220,68,0
UCjDsGV6fgTtXiNsKqwKIxJQ,bennyblancoVEVO,,310146510,2390,4,0
UCVp3nfGRxmMadNDuVbJSk8A,Wiz Khalifa,"Wiz Khalifa's Official YouTube Channel
Taylor Gang Ent. / Atlantic Records",13708985584,27900000,725,0
UCL7CNO0U9SjWFbu7veoLRBw,SnoopDoggVEVO,"Snoop Dogg on Vevo - Official Music Videos, Live Performances, Interviews and more...",1601403642,1970000,150,0
UC9HlWVtENbiMQzVRmnbJxtw,Meek Mill,"The official YouTube channel of recording artist Meek Mill. Subscribe for the latest music videos, performances, and more.",3880331660,5410000,262,0
UCWkk3gOSqSDvpFuslcrZwTg,gurra12,hiya,1420761,565,91,0
UCQ50aIYbavhpfVc9PKU9qrg,Lizos Music,"LIZOS MUSIC, es una compañía que en poco tiempo ha logrado dar de que hablar en el mundo discográfico actual. La oficina central esta ubicada en Mazatlán, Sinaloa, México y  cuenta con una oficina alterna en la ciudad de San Diego, Ca.

El elenco de la empresa, lo encabeza la BANDA MS DE SERGIO LIZÁRRAGA, una agrupación que esta haciendo historia y que se ha mantenido como una de las mejores en su género.

LIZOS MUSIC, es un sello discográfico, dedicado esencialmente a la promoción y difusión de artistas del género regional mexicano. Aunado a ello, también se especializa en el manejo y la representación artística.

El catálogo esta conformado con artistas de características especificas, cada uno de ellos con un toque distintivo. Es un elenco pequeño, pero todos los talentos que forman parte de ésta compañía, han sido seleccionados bajo un objetivo común: autenticidad, profesionalismo y creatividad musical. Esta es la filosofía y la visión de LIZOS MUSIC.",10127190552,7460000,604,0
UCtvAryS2TNjnGMzrXUsakWQ,WeipwnsallXD,,33345294,34600,12,0
UCEOhcOACopL42xyOBIv1ekg,LilWayneVEVO,"LIl Wayne on Vevo - Official Music Videos, Live Performances, Interviews and more...",3829381299,4720000,123,0
UCQznUf1SjfDqx65hX3zRDiA,DrakeVEVO,"Drake on Vevo - Official Music Videos, Live Performances, Interviews and more...",10040712095,9170000,149,0
UCQbopRfJXXIaoEWEPPvOVoA,DistrictMusic,"Benvenuti in DistrictMusic, siamo un duo di appassionati di musica e ci dedicheremo a traduzioni di musica Rap, Trap e HIP HOP.
Scrivete nei commenti quale canzone vorreste.
Iscrivetevi e attivate la campanella, per non perdere le nuove TRADUZIONI!!",611679,882,75,0
UC4IAZ3dowcXyvVYBx4hucSQ,Lil Wayne - Topic,"Lil Wayne is an American hip hop recording artist from New Orleans, Louisiana. In 1991, at the age of nine, Lil Wayne joined Cash Money Records as the youngest member of the label, and half of the duo The B.G.'z, alongside fellow New Orleans-based rapper Lil' Doogie. In 1996, Lil Wayne formed the Southern hip hop group Hot Boys, with his Cash Money label-mates Juvenile, Young Turk and Lil' Doogie (who now goes by B.G.). Hot Boys debuted with Get It How U Live! that same year. Lil Wayne gained most of his success with the group's major selling album Guerrilla Warfare (1999). Along with being the flagship artist of Cash Money Records, Lil Wayne is also the chief executive officer (CEO) of his own imprint, Young Money Entertainment, which he founded in 2005.",2115267984,510000,2087,0
UCN9HPn2fq-NL8M5_kp4RWZQ,Sia,"Official Sia YouTube Account run by Team Sia

",13773899763,22900000,192,0
UCmKdSrwf1e8coqAzUsrVHZw,SiaVEVO,"Sia on Vevo - Official Music Videos, Live Performances, Interviews and more...",10971244951,9570000,109,0
UCy5FUarBYUHFpPtYVuvzgcA,ZaynVEVO,"ZAYN on Vevo - Official Music Videos, Live Performances, Interviews and more...",4504011231,5830000,92,0
UCjIA3wwhi0QjSOXAZwOXbPA,Ozuna,"This is the official YouTube Channel of OZUNA. Singer, songwriter and actor from Puerto Rico and the Dominican Republic. Hits include ""Si Tu Marido No Te Quiere"" ""Síguelo Bailando"" ""Vaina Loca"" ""Unica"" and ""Taki Taki"". In 2018 OZUNA was the #1 YouTube channel globally on the platform. He currently holds the Guinness Award record for Artist with the most videos to reach one billion views on YouTube, 7 videos in total. 

Este es el canal oficial de música de OZUNA en YouTube. Cantante, compositor y actor de Puerto Rico y República Dominicana. Sus exitos incluyen 'Si Tu Marido No Te Quiere', 'Síguelo Bailando', 'Vaina Loca', 'Unica' y 'Taki Taki'. En el 2018, OZUNA fue el canal número 1 de YouTube a nivel mundial en la plataforma. Actualmente tiene el récord del Premio Guinness para artista para Artista con la mayor cantidad de vídeos para alcanzar mil millones de visitas en YouTube, 7 en total.

Info: info@auramusic.com  Booking: booking@auramusic.com",23973213962,36400000,221,0
UCAb60rVrvVQVfSgrX1UWb0g,Fleetwood Mac,"Welcome to Fleetwood Mac’s official YouTube channel. Check back for news, music videos, live performances, playlists, archival footage, and more. 

Listen to Fleetwood Mac RUMOURS LIVE Available Now!: https://fm.lnk.to/rumourslive
",1860166104,1500000,41,0
UCCzULu3prrEaPvM2ZtkJlYQ,Fleetwood Mac - Topic,,1220800208,44300,2824,0
UCa_4DcdTB9QfK0LY9-7qWuQ,AbbaVEVO,"ABBA, whose name is made up of the initials of the four members’ first names – Agnetha Fältskog, Björn Ulvaeus, Benny Andersson and Anni-Frid “Frida” Lyngstad – was one of the biggest pop groups of the 1970s. Forming in 1972, the Swedish band burst onto the world stage two years later with their mega-hit ‘Waterloo’. With Björn and Benny as ambitious and ingenious writers/producers – their forceful manager Stig Anderson sometimes helping out with the lyrics – and Agnetha and Frida providing their compelling and emotionally charged vocals, the group was a powerful presence on the pop scene, conquering the world with hits such as ‘SOS’, ‘Mamma Mia’, ‘Fernando’, ‘Dancing Queen’, ‘Take A Chance On Me’, ‘Chiquitita’, ‘The Winner Takes It All’ and ‘Super Trouper’. Disbanding in 1982, the extraordinary success of the 1992 compilation ABBA Gold brought them back in the public consciousness, where they have remained ever since.",3536350266,962000,78,0
UCbVHowgukUX8LDlbJqXXibw,Nicolle Inverno,I'm a big ABBA fan and I love Agnetha Fältskog.,24228463,15700,3,0
UCQbOscIR4CmejQQnykEdDQQ,LONNIE,The very best songs spanning decades.,3981465,9640,3,0
UCFtYl2ZO48htyN2C8w7PC9g,FrankSinatraVEVO,,197355531,43300,82,0
UCLgLBvO94pqkIA2XeaTaNbg,Glen Campbell and Much Much More,"Glen Campbell, the wrecking crew, concert, country music, pop, singer, guitarist, songwriter, television host, actor, session guitarist, studio guitarist, Alzheimer's, London, Royal Festival Hall, Royal Philharmonic, BBC,  England, Dome, Sioux Falls, South Dakota Symphony, PBS, the wrecking crew

doris day, gordon macrae, musical, musical comedy, comedy, singing, dancing, singer, dancer, actor, actress, movie star, film, movies",14804441,19300,626,0
UCKa0fiEDYTL1ZZgMHRia3dg,Sands-show,"That's entertainment.

",6298657,8720,231,0
UC1zsfp3OD8qWQ0HfLbz2TXg,Frank Sinatra - Topic,,1092038273,33300,120417,0
UC2cnHxpDcAQvGcr21BB3WuQ,Georgia Rainbow,,46106152,20100,3,0
UCO59y9XJIJZS5i86lUOvMGA,TiestoVEVO,"Tiësto is a name that no longer needs an introduction. His name is synonymous with the best of electronic music, and while he is already considered an icon that has not stopped him from continuing his work as an innovator. The Grammy-Award winner has laid down the groundwork for what it is to be a modern-day producer/DJ and is responsible not only for some of the best electronic dance music of all time, but also for inspiring a generation of up-and-coming young artists. 

Breaking down barriers and shattering records, Tiësto has racked up the titles to prove his stature. In addition to being nominated for two Grammy’s and winning the award for the first time in 2015, he has been named #1 DJ by Rolling Stone, voted “The Greatest DJ of All Time” by Mixmag, ranked the #1 DJ in the world three times by DJ Mag, and was recently presented with the Edison Pop Oeuvre Lifetime Achievement Award (an honor he shares with David Bowie, Quincy Jones and U2 among others).",1115057246,950000,107,0
UCI8Ry7NdFNLel-S8dWU7mDA,EltonJohnVEVO,"Elton’s career achievements to date are unsurpassed in their breadth and longevity. Elton is one of the top-selling solo artists of all time, with 1 diamond, 40 platinum or multi-platinum, and 23 gold albums, over 50 Top 40 hits, and he has sold more than 300 million records worldwide.
 
Elton announced the ‘Farewell Yellow Brick Road’ tour in January 2018. Encompassing 5 continents, and over 350 dates, this 3-year-long tour started in September 2018 and marks his retirement from touring after more than 50 years on the road. 2019 also saw the release of ‘Rocketman’ and global bestselling autobiography, ‘ME’. An epic fantasy musical motion picture of Elton’s life, 'Rocketman' has been a commercial and critical hit. It has won an Oscar, two Golden Globe Awards and a Critics’ Choice Award and garnered BAFTA nominations.
",2577244663,556000,173,0
UCbDZlJ_9PHzBYe5CWPYu9qg,NVNCBL,,31623845,52100,189,0
UCn9i4cdLe14CbsOycTbKMoA,Elton John - Topic,,1107484569,20800,3170,0
UChpJbg7zMbi5jx9Gdjaxa9g,KanyeWestVEVO,"Kanye West on Vevo - Official Music Videos, Live Performances, Interviews and more...",4626506813,3450000,115,0
UC_Bf08Y-3m6CMAvTms3EkKg,JayZVEVO,"JAY-Z on Vevo - Official Music Videos, Live Performances, Interviews and more...",1149199152,806000,56,0
UCXbAzjOxELhh3r5avq-i48Q,Neil Collins,,50012920,30800,13,0
UC3L5PYo5eLxuyqRMJn3_j6Q,Kayser926,,17217218,26900,7,0
UCjqF14Y0tWG8pxkUoUlRbjA,Sebastian Sdaigui,"Concepts N Creations Experimental Films.

www.sebastiansdaigui.com",730754,457,11,0
_,_,_,_,_,_,2
UCDjTW0_B3701WSfxYnDIFSg,MetroBoominVEVO,,481162395,12800,35,0
UCByOQJjav0CUDwxCk-jVNRQ,Drake,,16312691049,28800000,62,0
