channelId,title,channelDescription,viewCount,subscriberCount,videoCount,error
UC41XFJPYtHDnenQl8tk4f_g,ShootToLuna,"Eiros: Why do you call me Eiros?
Charmion: So henceforth you will always be called. You must forget, too, my earthly name, and speak to me as Charmion.
Eiros: This is indeed no dream!
Charmion: Dreams are with us no more; but of these mysteries anon. I rejoice to see you looking like-life and rational. The film of the shadow has already passed from off your eyes. Be of heart, and fear nothing. Your allotted days of stupor have expired; and to-morrow, I will myself induct you into the full joys and wonders of your novel existence.
- ""The Conversation of Eiros and Charmion"", Edgar Allan Poe
Music today is terrible, (with the exception of some bands and people around); little originality, everything hackneyed, ridiculous, made up genres (ex: Screamo), and bands more focused on their images then the actual music. Great music has long since passed and a new wave of garbage has arrived. I'm not saying that I'm right and everyone else is wrong, but for good music (in my opinion), check out the favorites and subscriptions. Thanks.
Also, if you happen to subscribe, could you write that you did so on the channel so I can thank you?",17205942,5340,175,0
UCJWHRrKVPuOz-aUrfkO1dpQ,KevinRoldanOfficial,"KEVIN ROLDAN KR 


Cali, Valle Del Cauca - Colombia

Cantante, Compositor y Productor 

Presidente & CEO: King Records 

Booking: 

+1 (786) 877-5641
booking@kingrecordsusa.com


",2599390703,4840000,149,0
UCz4MSkcrs_MVlwUv6h8arnw,EL RANKI,"
",9361621,28600,211,0
UC1Favl8RzwbKEJN_D1oryRg,Almighty,"EL QUE CAMBIO EL JUEGO. Cantante & Compositor (Carolina, PR)",809046387,3230000,141,0
UCu4bj03KW4CwAsYtHSwMEsQ,Arcangel,,6142155585,11600000,219,0
_,_,_,_,_,_,2
UC2uoWlDCtn8QuAwqn3T46zw,Justin Quiles,"Mis fans! Manténgase atentos a mi canal y suscríbanse que traigo mucha música y contenido brutal. Les traigo videos líricos, en vivos, entrevistas y mucho más. VAMOS 

Justin Quiles o tambien conocido como J. Quiles naci en Bridgeport, Connetticut el 29 de Marzo de 1990. Comenzo a desarrollar su pasion por la música a temprana edad cuando regreso a Puerto Rico y creo sus primeras composiciones. Su carrera musical despega gracias al productor musical ""Lelo"" y empezo a desarrollar ideas innovadoras lo cual le dan un estilo propio a sus canciones.En su canal tienes la oportunidad de ver fusiones de ritmos como el merengue urbano, reggaeton y reagge entre otros.

For Bookings Contact: Email: Bookings@Richmusicltd.com 
Tel: (866)-694-6233",4201728889,4720000,314,0
UChqXktKJ1-f_FMY2FmEZnlQ,ALEX ZURDO MUSIC,"Bienvenidos a la Pagina Oficial de Alex Zurdo. Aquí encontraras toda la información de nuestro ministerio y la agenda de nuestras actividades. Contacto: Dennisse Contreras 787-463-2638
email: alexzurdoministry@gmail.com
Biografía
Juventud, vocación y talento.Tres palabras claves que definen la vida del ministro y cantante, Alex Zurdo, quien quedó marcado cuando Dios tocó a su puerta. Motivado por su padre, el vocalista participó de un retiro espiritual y desde ese instante su camino tomó otro rumbo.

Alex Zurdo Ministry:

Dennisse Contreras
Tel: 787-463-2638
Email: alexzurdoministry@gmail.com
web: alexzurdomusic.com
Facebook: alexzurdomusic
Twitter: @alexzurdomusic
Instagram: @alexzurdomusic
Youtube: Alexzurdomusic",1618930768,3370000,291,0
UCtyzzW6rIQiGP7gfGTXkhDw,Jelly Roll,"JELLY ROLL's Official YouTube Channel

Nashville, TN

Management: Jonathan Craig
Jonathan@NashvilleMusicMgmt.com

Booking: Hunter Williams
hunter.williams@caa.com",2461371943,3270000,328,0
UCU5AbNuMPGB491GcqXuzwKw,$uicideboy$,Fear and Self-Loathing in New Orleans,2613765764,3850000,119,0
UC9Xnzk7NEdUzU6kJ9hncXHA,Trap Party,"Trap Music 2023 | Trap Music Channel 2023.

Trap Party is always striving to provide Electronic Music and Hip-Hop Fans with the best in Trap & Bass music since 2013.

Catering to huge audiences all over the world, Trap Party has amassed an impressive following across social media and streaming platforms, gaining support from industry renowned professionals including top  DJ's, Producers and Labels.

For Submissions use: http://www.trapparty.net
For Business email us at cristian@trapparty.net",276711603,1770000,1731,0
UCZ1Ja2LrS9XKdAfRjYnJPEA,MYSTIC PIMP,@PUNKSTEPDAD,495332893,488000,243,0
UC0PsqWsDU7JJKqztI8V6spA,$uicideboy$ - Topic,,1169440070,42700,407,0
UCzGpxRavGnm6yym4Pt7B2sg,Manu Chao,Welcome to Manu Chao's official channel,787433541,1050000,394,0
UCp6B4S_hKDBia-SLV2Lhvtg,Bomba Estéreo,"Bomba Estéreo es una banda colombiana que mezcla música del caribe con música electrónica. Liderada por la cantante, artista y compositora samaria Li Saumet, quien por medio de sus letras ha marcado un estilo único en la música latinoamericana, y el músico Simón Mejía, quien desde los inicios del sonido de la banda innovó con sonidos electrónicos únicos para su momento. El alma de esta banda y su esencia es el Caribe; los colores, frutas, sonidos y cultura de esta región que atraviesa toda Latino América.",1110523704,1910000,135,0
UCov4TIS-4VwNlFdktSOPVhA,ManuChaoOfficiel,,35216325,18300,2,0
UCFFnaICQoYeIsNxZ0p76Z_A,LO5VAGOS,"Buena música!!!
Tratando de subir música ecuatoriana, y videos difíciles de hallar en la red ...",133644522,155000,55,0
UCjGtN18tDaAci3jre_3Xe0g,sanchopanzavive,Just another pirate eye on the globe.,953556,1050,46,0
UC8WbdD3m5dP9giOU9XtAGWQ,M83,"Official YouTube Channel for French electronic artist M83. New album 'Fantasy' is out now. Keep dreaming friends 🪐 🌌 ❤️ 
",809108076,1100000,228,0
UC_NaA2HkWDT6dliWVcvnkuQ,Creators,"A new lens on modern creativity.

Creators is VICE's arts and culture platform, covering every aspect of the creative process. Our mission is to make art more accessible to a wider audience with diverse voices reporting on emergent arts and artists. From sculpture and light projections to street art and dance, we immerse ourselves in cultural hotbeds and travel to the far corners of the globe to explore the spectacle and color of making art today.

From global events to daily video and editorial content, Creators has collaborated with more than 600 artists globally including Karen O, Daft Punk, Spike Jonze, M83, Animal Collective, The xx, Chris Milk, Florence and the Machine, United Visual Artists, Mick Rock and David Bowie.",353850701,914000,435,0
UCgxKw0JTiimAAzrxc5i7mBg,Dwayne L,,21476425,17300,2,0
UCDfDVqkPYdcO3WWaVwz3Scw,Rudmen,,46564238,23800,55,0
UCrIClZ5YfhhfqAdjTyjN8Pg,13th St. Films,,12768,33,5,0
UChMKB2AHNpeuWhalpRYhUaw,RiseAgainstVEVO,"Rise Against on Vevo - Official Music Videos, Live Performances, Interviews and more...",712089058,557000,91,0
UCEuMPBZxiv6i8YlTVKfEBJw,AToTheLex93,"urteilt selbst wie ihrs findet
bin noch anfänger^^",14719430,5810,2,0
UCFx4Hal6y4ZzlFvxHHJmaPg,INXSVEVO,,93799164,53300,29,0
UCAldEKRD6LXGd8FAXI6Oo3w,INXS,INXS Official Channel,624466369,571000,146,0
UCgnKlNm0QJY_9LKJ4vHPspg,willowsmith,Official YouTube Channel of Willow Smith.,618830736,2530000,44,0
UC6YyYm5LWzar8Isrqs2eXzQ,24KGoldnVEVO,,700329203,49200,61,0
UCstw-41J8syXgdJ8xWvaizA,Trippie Redd,SAINT MICHAEL✨🌙🌼🌸,1173063415,4300000,260,0
UCUs8sGiP4avNaYNVO22INhQ,Machine Gun Kelly,,5372762016,8850000,324,0
UCtpzjafUx5qbmxJdqm4-qmg,iann dior,"Low Tide OUT NOW

https://ianndior.lnk.to/lowtide
",308813443,1250000,123,0
UCaVDuw2UZaqw3xbL79mb1_w,JackKaysVEVO,,12150330,1610,35,0
UCz3FJf3aLNUe6W90-a16LBA,Warren Zeiders,"🥀 PRETTY LITTLE POISON 🥀
❤️‍🔥 DEBUT ALBUM ❤️‍🔥
💔OUT NOW💔
",230688230,318000,228,0
UCXvSeBDvzmPO05k-0RyB34w,Future House Music,"Future House Music is rooted in the core values of supporting new talent, putting artists first and providing lasting experiences for the dedicated community
 
Launched in 2014, what began as a community of house music lovers has developed into a record label with a clear focus – putting artists first and providing the finest releases to an ever-growing fanbase. From our home in Rotterdam, The Netherlands to global live events, Future House Music continues to make an impact on an international scale – by sharing our music and exciting our fans around the world.

Amassing over 1 million YouTube subscribers over a four year period, FHM is one of electronic music’s fastest-growing independent record labels. Stay tuned as we continue our rise to the forefront of electronic dance music, helping artists achieve their goals and work together to guide them musically in their careers.

The best is yet to come...",435072340,1170000,2425,0
UCI-8viPTHVzMiffiaQU8hPQ,Wh0 - Topic,,77348,16,5,0
UC-hjqdOJJ9WC7q3rA1jItxg,Lola Audreys - Topic,,41561,58,21,0
UCqqY6fzyLY3OmdjYRe2eJAg,Roosevelt,"New album 'Embrace' is out September 22nd!
Pre-Save / Pre-Order: https://roosevelt.lnk.to/embrace

North American and European live tour on sale: https://iamroosevelt.com/

Management: alex@thisismusicltd.com

LIVE / DJ
---------------------------------------
USA, LATAM & Canada: ben.buchanan@caa.com
Worldwide (excl. Americas): Josh@xraytouring.com

Follow Roosevelt on Facebook, Instagram and more https://roosevelt.lnk.to/follow
Website : https://roosevelt.lnk.to/website 

Marius Lauber aka Roosevelt is a singer, songwriter and producer who has been releasing on UK label Greco-Roman since his debut EP Elliot. Roosevelt is a multi-instrumentalist singer, songwriter and producer hailing from Cologne. 

This is the Official Youtube Channel for Roosevelt. SUBSCRIBE NOW to be kept up to date with the latest music, videos, tour dates, behind the scenes footage and more https://roosevelt.lnk.to/subscribe
",83518612,128000,108,0
UCcemkeZKHXdDkIinIwar1pg,EmeliSandeVEVO,"British singer songwriter Emeli Sande MBE’s debut album Our Version of Events sold over 5.4 million copies to date. It was the biggest selling album in the UK of 2012 and 2013 and is certified platinum seven times in UK and Ireland. Emeli followed with critically acclaimed Long Live The Angels in 2016, Kingdom Coming EP in 2017 and Real Life in 2019. With 19 million singles sold including 3 x UK No.1 singles, 6 million albums and four BRIT awards (including Best Female twice), Emeli received an MBE for Services to Music in 2018 and in July 2019, she became the University of Sunderland’s Chancellor. Emeli Sande is an internationally acclaimed artist and highly sought-after writer with strong values. She uses her profile with moral purpose to support important campaigns. Her powerful stance on social justice is evident through her song-writing and is the driving force in her career. ",405445765,634000,78,0
UCBpQwBumhmVksgmo1pskfpA,Lola Audreys,,53218,88,4,0
UCjVf2FirkZsEW8LN6nZcnog,Roxette,"Welcome to the official Roxette YouTube Channel!

Follow Roxette
https://www.facebook.com/RealRoxette
https://www.instagram.com/realroxette
https://www.youtube.com/c/roxetteofficial
https://open.spotify.com/artist/2SHhfs4BiDxGQ3oxqf0UHY?si=my_XOey1RE2UTLwh4UkkzQ

#Roxette
",2333171617,2070000,115,0
UCv33m7U8fGGwqJpGrKrG18g,AnnieLennoxVEVO,"One of the finest and most outstanding musical voices of our time, singer, songwriter, campaigner and activist, Annie Lennox is celebrated as an innovator, an icon, and a symbol of enduring excellence. Annie’s music career is peerless with over 80 million record sales to date and winning countless awards, while her tireless charity work is widely praised receiving prestigious awards and honours.",330796917,174000,41,0
UCmV2SO-wJJ6FLmkxe7by4pA,FFRR,"Full Frequency Range Recordings.

FFRR was founded in 1986. The label has brought countless culturally important records across the dance music spectrum over the years including Orbital, Armand Van Helden, Salt ‘N’ Pepa, Lil Louis, Goldie to name but a few. 
We continue to build on that heritage with new & exciting cutting-edge music. Since the beginning of 2020, FFRR has enjoyed success with Diplo & SIDEPIECE’s “On My Mind”, Alan Fitzpatrick vs Patrice Rushen’s “Haven’t You Heard” and Obskür’s “Bayside”. They have also welcomed artists such as Eats Everything, Sam Gellaitry, and Sonny Fodera to the FFRR family.
Our mission is to release Music That Moves You.
",142342192,142000,185,0
UCGlEsm9OH04YYcnMpAYXobg,OliverHeldensVEVO,,17853525,152,26,0
UCycIcV-bvPI-nlp0JXxav7A,Dj Vj Eduardo,"♦ Contact Dj Eduardo +593994488505 Email: djeduardoec@gmail.com (Ecuador). Se Hablar Español y Neerlandés.Tecnico Electricista estudie en Holanda.
Top Latin Songs, estrenos, enganchados, antiguo, clasico, Canciones, Dj Eduardo Intro, lo mejor, Official, oficial, Lyric, Letra, mezclas, Latino, America Latina.",246440724,663000,14,0
UCgNFRHstpzENQco5gcKAT-A,Kelar!,"Hola! Soy Kelar (Productor, Editor y DJ) les presento mi canal para que pasen el rato escuchando la música que les brindo :) y armen la fiesta donde quieran, traigan papitas y bebida para este viaje musical! :) ",151531232,251000,64,0
UCpEXokPgbp2pmiddGuSfTgA,matias Carolei,,551176,452,6,0
UCf5FC9Zq8eSdB_nyDTX2c5Q,tunche,"Perú
19 años",1002266,381,12,0
UCUSScD_z8ShxW9hhiZLHyLw,Anuel AA Nation,OUT NOW Album Emmanuel 💽💀,527977,2340,9,0
UCKSWum1syg4fQtahy9ehgAQ,jacobo giraldo,el canal se trata de muchas cosas canciones como hackear cosas tutoriales etc,574762,894,25,0
UC7Gwx7SM4ZlwFrhY3iVG-Jw,Jeo Ortiz,,1925425,2150,15,0
UCixB0YzIDuwhncMywAWxmHQ,ThatHappens,"*****╔╦╦╦═╦╗╔═╦═╦══╦═╗*****
*****║║║║╩╣╚╣═╣║║║║║╩╣*****
*****╚══╩═╩═╩═╩═╩╩╩╩═╝*****

• ● owned by sεвαsτiαи ★★★★★★

-[★]- Reggaeton & Bachata -[★]-


**[★ Todo del *****2009***** ★]** 

• ● ★ SUSCRIBETE, ES SOLO UN CLIC =) ★ ● •


ılı.------Volume------.ılı.
: ▄ █ ▄ █ ▄ ▄ █ ▄ █ ▄ █
: Min- - - - - - - - - - -●Max
:
: ► Play ▌▌ Pause ■ Stop ♫
╚═════════════════════★",56493777,44200,52,0
UC6YGTwA7MY9m2sb8daK7NGg,DavidBisbalVEVO,"David Bisbal en Vevo – Videoclips oficiales, Lyric videos, Sesiones en vivo, Entrevistas y muchos más...",2117394957,1080000,132,0
UCuABtq2JQXrI-TffLVoK2uA,valemusic,Suscríbete a nuestro Canal Oficial Vale Music en Youtube y mantente informado de todas nuestras videonovedades antes que nadie.,832471729,520000,294,0
UCoXZokxZ3jrsgDMHPaEi8pw,AlvaroSolerVEVO,"Alvaro Soler en Vevo – Videoclips oficiales, Lyric videos, Sesiones en vivo, Entrevistas y muchos más...",1979551540,1560000,63,0
UC3LQ87yMWhQxmvp0lUAK9Mg,mademoiselle lou,,5249456,19600,9,0
UCNtD7oDVld6YeaYV7tCXo1A,B20baOfficiel,"Chaine officielle de BOOBA.
Nouvel album ULTRA disponible
Trône, et aussi Nero Nemesis, Panthéon, Ouest Side, 0.9, Lunatic, Futur, Futur 2.0 et D.U.C",2541171629,4030000,158,0
UC92iUJujo2Z1gSzs8aJ7cnA,Timal Official,,590449114,984000,31,0
UCM2z1XL2kr4uVQoA2elbCgw,Booba - Topic,,302053416,16200,658,0
UCYNOJx1S_E9U0MpyTK6vPrg,GloriaTreviVEVO,"Gloria Trevi en Vevo – Videoclips oficiales, Lyric videos, Sesiones en vivo, Entrevistas y muchos más...",2745647951,1130000,113,0
UC-dKqjnYmdP2S708U6aNzXw,GloriaTrevi,Gloria Trevi,549142121,753000,238,0
UC1qljD6du4WtDPUVB8L9P3A,GloriaTreviOfficial,"Sitio Official de Gloria Trevi

Una Rosa Blues .... a la Venta!!!
Compralo ya!

Gloria de los Ángeles Treviño Ruiz (Monterrey, Nuevo León, 15 de febrero de 1968) conocida artísticamente como Gloria Trevi; es una cantantautora, actriz y dibujante mexicana. Es una figura controvertida en la historia del pop y rock en español.

Con sus producciones discográficas como solista, películas taquilleras, tours agotadas de presentaciones en directo y calendarios provocativos (con los cuales vendió millones de copias), Gloria Trevi se convirtió en una de las mujeres más atractivas, influyentes y famosas de la década de los '90s.

URL De Sitio Web http://www.gloriatreviweboficial.com/

Sello Discografico Universal Music Group
http://new.umusic.com/flash.aspx",34856328,36300,16,0
UCz9yS18zJGQObwUL_K-ICnw,KarolGVEVO,,17443133835,3810000,96,0
UCHYqkMN0UwbyN0krs1pahXQ,Keith Urban,"Welcome to the Official Keith Urban YouTube Channel! BROWN EYES BABY, out now.",1363726703,1590000,536,0
UCK-GN21LMCsDoQgnZXNqLaw,KeithUrbanVEVO,"Keith Urban on Vevo - Official Music Videos, Live Performances, Interviews and more...",1057793722,602000,160,0
UCANLZYMidaCbLQFWXBC95Jg,TaylorSwiftVEVO,"I'm the problem, it's me.",26877589116,25600000,307,0
UCz0Ob7eYRAKSoPQb9oKmBmg,BRELAND,Official YouTube channel for BRELAND. Debut album ‘Cross Country’ out now! ,178558357,345000,123,0
UC0ARaU0Q7u44O4UqsoYnTCw,DotComNirvan,"All content created by Nirvan Sorooshian. (@dotcomNirvan)

For inquiries: dotcomnirvan@gmail.com

Support on patreon! patreon.com/dotcomnirvan

- Subscribe -",87839726,214000,181,0
UCW6dDNgf_2FAJOJ3RhasrIA,Xavier Wulf,HOLLOWSQUAD,145400412,291000,110,0
UCtiuFy8mmH5HAwqVM-PDtBQ,Xavier Wulf - Topic,,83779852,8050,233,0
UCy5saTs3dRHrBDp57JaIZ7g,Jack Rottier,"All content by Jack Rottier
All content presented by HONEST 
@JackRottier - @Honestimp

",8269196,15900,80,0
UCRVcSuyqciSi5crgSawXk6Q,TRILLPHONK,,542725219,416000,1659,0
UCwtuUY5m7VuaIpzkOi5JSvA,v i s u a l,Let me drive the boat,487373,943,158,0
UC2LSxCQoApZVmpWEBudCZlQ,GIGS,"GIGS is a collection of performances from iconic artists, presented by Mercury Studios.

Subscribe to our channel for regular musical performances from your favourite artists.
",1245633956,305000,226,0
UC_Us2Zqt4ovGtdXKmws60mw,ZZ Top - Topic,,336589975,14700,1657,0
UCYRUbc1Jm0_B48LM94L2F0g,ZZTopVEVO,,120044027,51700,5,0
UCINawo364C-NCXc_n-3bxOw,TOOLVEVO,,645374287,7830,72,0
UC9N2JaiIWYR2GEN1tgHAczA,Vic Firth,"At Vic Firth, we know you're passionate about the world of percussion.  So are we!  As drummers and percussionists, we share our musical ideas and celebrate each other's playing every day.  That's why we're sharing our video library with you!  Check out exclusive interviews, lessons and performances from your favorite drumset, concert and marching artists! Browse. Share. Learn. Enjoy!",203677623,580000,3870,0
UC22iRbeDan0Qe_PrhdOkj2w,BillyIdolVEVO,"Billy Idol on Vevo - Official Music Videos, Live Performances, Interviews and more...",761227407,103000,27,0
UC-aD3OPzbaKnPzsXjBgisAg,Miley Nation 13,"All things Miley Cyrus!

Online platform and community for Miley Cyrus Fans! 

Subscribe for more Miley Cyrus videos!

DISCLAIMER: Miley Nation is not associated with Miley Cyrus. Miley Nation is a fan page created to provide entertainment and educational content about Miley Cyrus.

Our content is under Copyright Fair Use, because the content used is transformed. ""Transformative uses: that add something new, with a further purpose or different character, and do not substitute for the original use of the work.""

All multi-media, images, and other related content are copyright to the rightful owners. 

© ""Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use.""
",50627577,110000,40,0
UCnMm1N8Ds8kw6PPNP0aTSHw,TheUTubeTeamSucks,"Mainly 80's 12"" mixes. As a few people have observed, a lot of my vinyl recordings are slightly fast. This was because I was using my trusty old Aiwa Z-D9300M HiFi stack to transfer them, which was old when I started ripping in 2007 (I bought the Aiwa new 1996-ish - sadly the amp died in 2015 :( ) and the turntable speed adjustment screw was difficult to adjust accurately. So apologies for the speed up in some cases. I claim no copyright on these recordings, my original intent was to give people a chance to hear classic mixes of songs you wouldn't normally hear nowadays (and i've used YouTube to hear 12"" mixes of songs i've never heard before), although to be fair in recent years a lot of albums have been reissued with extra tracks inc. 12"" original mixes, which is great &long may that continue.",16797121,8400,139,0
UC_R3nYWHZV0tGgbpuDoI0vA,Billy Idol - Topic,"As an early architect of the sound, style, and fury of punk rock, Billy Idol's lip- curling sneer and fist-pumping persona vaulted him into the mainstream as one of MTV’s first megastars, making him one of the most recognizable faces in pop music. He has sold 40 million albums while scoring numerous platinum albums worldwide, nine top forty singles in the U.S. and 10 in the U.K. including “Dancing With Myself, “White Wedding,” “Rebel Yell,” “Eyes Without A Face,” “Flesh For Fantasy” and “Cradle Of Love,” all of which Idol wrote himself. Billy’s definitive versions of “Mony Mony” and “To Be A Lover” were also smash singles.

Billy was responsible for some of punk rock’s most memorable, literate, and evocative moments and created a pioneering new sound by bringing the spirit of ’77 to the dance floor, going on to fashion an immediately identifiable musical blueprint that integrates club-land throb, rockabilly desperation, and rock’n’roll decadence.",198224599,4500,772,0
UCfguI5bxcFwOjuD3qti4FAw,NatirutsVEVO,"Natiruts na Vevo - Videoclipes oficiais, Lyric Videos, Performances Ao Vivo, Entrevistas e mais...",1493144951,894000,149,0
UCD5XcAxBOwc7Pd506L0-RAg,HubVEVO,,134099760,255000,620,0
UCF1B6Qwd22vBa-Q32Pnj0DQ,BERET,"Canal Oficial de Beret. Canciones, videos, video lyrics y letras originales de Beret.",1693355821,4690000,127,0
UC5eRTh1u9ZQiFc9Iq569O2Q,EstopaVEVO,"Estopa en Vevo – Videoclips oficiales, Lyric videos, Sesiones en vivo, Entrevistas y muchos más...",659802330,284000,161,0
UCwLPjTQVUrLbOPajLZO8SZA,Ridertoons,"Jose Cubero is a freelance animator and illustrator graduated from Llotja School of Arts in Barcelona.
In the last 15 years he has specialized in animation, and has made several cartoons published on webs and TV, aiming one exclusive point: ENJOY

Thanks for your time checking my Channel :)
Jose",7371057,6660,158,0
UCARuRjCL7CEhJH90Ej7j5Vw,PoleVEVO,,28910528,5630,37,0
UCymvelZbjUjICDsrWsZDFYw,AnaMenaMusicVEVO,"Ana Mena en Vevo – Videoclips oficiales, Lyric videos, Sesiones en vivo, Entrevistas y muchos más...",574510793,286000,46,0
UCDQq9DF_sEApzrKc5GlSZ8Q,belindavevo,,292191258,277000,20,0
UC0rvyTXUt2mp6ymym7OupwQ,WaldyOficialCanal,,16498355,19500,344,0
UC8BcjeZ5Iz5hgmb_QgLRapQ,ChristianNodalVEVO,"Christian Nodal en Vevo – Videoclips oficiales, Lyric videos, Sesiones en vivo, Entrevistas y muchos más...",7700108563,1740000,132,0
UCGEULO7Ruetmngtl593OoXg,AbrahamMateoVEVO,"Abraham Mate on Vevo - Official Music Videos, Live Performances, Interviews and more...",1713386579,2380000,110,0
UCVOaYjNLMhIqW0faahP7uZw,SLAM! - Music,"SLAM! – Music is the place to be for live sets by the best DJ’s of this moment. On this channel you can enjoy DJ-sets played in the SLAM! Studio, played on SLAM! Events and played at the Amsterdam Dance Event. Whether you like EDM, house, urban, trap or hardstyle, this channel is the perfect pre-party of your night out. Beside that we’ve asked the most talented producers to teach you how to produce a track in the Studio Challenge.

That ain't all. Beside SLAM! – Music we have two other (Dutch) channels:
SLAM! – Radio bit.ly/YTslamradio
SLAM! – Series bit.ly/YTslamseries

Like to see backstage content as well? 
Follow SLAM! on Instagram: https://www.instagram.com/slamofficial/
Or join us on TikTok: https://www.tiktok.com/@slamofficial_music

Boost Your Life

SLAM!",212152660,746000,1647,0
UCFHEd4vTTTTOAKaEI4TEeFQ,SonicmaX,"SonicmaX El Nuevo Nombre de La Musica Grupera ""PURA MÚSICA PA, LA FAMILIA"" - Suscribete

Contactos: WhatsApp: +526463383006",18780656,38100,209,0
UC0l9yo3iED8wfLw-8RXdRAQ,CardenalesDeNLVEVO,"Cardenales De Nuevo León en Vevo – Videoclips oficiales, Lyric videos, Sesiones en vivo, Entrevistas y muchos más...",864532161,300000,77,0
UChX2haJZZJOtIIrdqLPvQWA,RemexMusic,"Canal oficial de Remex Music, disquera y representación ubicada en la ciudad de Monterrey, N.L.

Sigue a Remex en sus Redes:
Pagina Web http://www.remexmusic.net
Remex TeVee http://www.youtube.com/RemexTeVee
Facebook https://www.facebook.com/Representaci...
Twitter https://twitter.com/Remex_Music
Instagram https://www.instagram.com/remexmusico...

PARA CONTRATACIONES:
MEXICO:
TELS. +52 (81) 1873-8066 / +52 (81) 1873-8067
CEL/WHATSAPP: +52-1-812-640-8822
USA:
TEL. (956) 282-4423
------
EMAIL: ventas@remexmusic.net",6438161522,7080000,2715,0
UC4wVX-o3tuFaflHTdT-wMdw,Choock5219,"Just a guy with some old 45's
Have quite a few that were only popular in the Pgh. Pa area due to play from DJ's such as Porky Chedwick, Mad Mike Metro, Charlie Apple, Zeke Jackson, Bob Livorio, Terry Lee, Jim Dudas and others.
 No crappy 8 bit 64 kbps MP3's Here.....99 & 44/100%  Vinyl Transfers
 For best sound quality,be sure to watch in 480P or 720P. It does make a difference",10455755,13400,6078,0
UCvaARHrkgAqAxZ4d6p9cncA,mrblindfreddy9999,"Yodelling [1920's to Now] and Old-Time Country Music [ Early 1900's to  Mainly 1970's]
 Will search and only post if not on YT [unless mine is better audio or more descriptive]",66259294,70300,12223,0
UCfFtgCbgX9D6Z1XqubJ1mEQ,dvdmanchristmas2,Country Christmas & others Christmas Music,373777,509,257,0
UCjdRB1vDNhRQUTrV87_nGHw,Bobby Helms - Topic,,59814308,36600,3225,0
UCqWTDhsAviO9uUynsNrN70A,So Rockabilly,,10589309,13500,5204,0
UC6VkYyrv3BeBy5BXQIm--Dg,tabbap,,21824413,20800,68,0
UCX62fwFYJNo5U-Flu2V-kGQ,BeastieBoysVEVO,"Beastie Boys on Vevo - Official Music Videos, Live Performances, Interviews and more...",536450686,84600,47,0
UCdrZHvGLfCLNw1suuEfz4zQ,Clásicos Del Siglo 20,Este es un espacio que ofrece una interpretación de esas canciones que por estar en otro idioma no han sido plenamente disfrutadas,14819411,40100,726,0
UCOrpXPCzM7xDBI4k6XW2LFw,kleinheero,,6942437,2760,19,0
